"","occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship"
"1",NA,"Cervus elaphus","Cervus elaphus Linnaeus, 1758",2440958,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus","Cervus elaphus","Linnaeus, 1758"
"2",NA,"Agalenatea redii","Agalenatea redii (Scopoli, 1763)",2160943,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Agalenatea","Agalenatea redii","Agalenatea redii","(Scopoli, 1763) "
"3",NA,"Turdus pilaris","Turdus pilaris Linnaeus, 1758",2490737,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus pilaris","Turdus pilaris","Linnaeus, 1758"
"4",NA,"Salamandra salamandra","Salamandra salamandra (Linnaeus, 1758)",2431776,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra salamandra","(Linnaeus, 1758) "
"5",NA,"Broscus cephalotes","Broscus cephalotes (Linnaeus, 1758)",4308815,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Broscus","Broscus cephalotes","Broscus cephalotes","(Linnaeus, 1758) "
"6",NA,"Emberiza citrinella","Emberiza citrinella Linnaeus, 1758",2491534,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza citrinella","Emberiza citrinella","Linnaeus, 1758"
"7",NA,"Hyla arborea","Hyla arborea (Linnaeus, 1758)",2427573,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla arborea","Hyla arborea","(Linnaeus, 1758) "
"8",NA,"Rana arvalis","Rana arvalis Nilsson, 1842",2426789,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana arvalis","Rana arvalis","Nilsson, 1842"
"9",NA,"Perdix perdix","Perdix perdix (Linnaeus, 1758)",2473958,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix","(Linnaeus, 1758) "
"10",NA,"Chilocorus bipustulatus","Chilocorus bipustulatus (Linnaeus, 1758)",1043495,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Chilocorus","Chilocorus bipustulatus","Chilocorus bipustulatus","(Linnaeus, 1758) "
"11",NA,"Mentha pulegium","Mentha pulegium L.",2927189,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha pulegium","Mentha pulegium","L."
"12",NA,"Thymus serpyllum","Thymus serpyllum L.",6409622,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymus","Thymus serpyllum","Thymus serpyllum","L."
"13",NA,"Marrubium vulgare","Marrubium vulgare L.",2927069,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","Marrubium vulgare","L."
"14",NA,"Diachromus germanus","Diachromus germanus (Linnaeus, 1758)",4474987,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Diachromus","Diachromus germanus","Diachromus germanus","(Linnaeus, 1758) "
"15",NA,"Carabus auratus","Carabus auratus Linnaeus, 1760",1036779,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus auratus","Carabus auratus","Linnaeus, 1760"
"16",NA,"Amara convexior","Amara convexior Stephens, 1828",4472897,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara convexior","Amara convexior","Stephens, 1828"
"17",NA,"Platynaspis luteorubra","Platynaspis luteorubra (Goeze, 1777)",4452301,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Platynaspis","Platynaspis luteorubra","Platynaspis luteorubra","(Goeze, 1777) "
"18",NA,"Agrostemma githago","Agrostemma githago L.",3085368,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Agrostemma","Agrostemma githago","Agrostemma githago","L."
"19",NA,"Menyanthes trifoliata","Menyanthes trifoliata L.",5341511,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Menyanthaceae","Menyanthes","Menyanthes trifoliata","Menyanthes trifoliata","L."
"20",NA,"Armeria maritima","Armeria maritima (Mill.) Willd.",8930531,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Armeria","Armeria maritima","Armeria maritima","(Mill.) Willd."
"21",NA,"Juncus maritimus","Juncus maritimus Lam.",2701869,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","Juncus maritimus","Juncus maritimus","Lam."
"22",NA,"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria Medik.",5414548,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Vincetoxicum","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Medik."
"23",NA,"Anthyllis vulneraria","Anthyllis vulneraria L.",5352367,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Anthyllis","Anthyllis vulneraria","Anthyllis vulneraria","L."
"24",NA,"Cirsium dissectum","Cirsium dissectum (L.) Hill",3113784,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium dissectum","Cirsium dissectum","(L.) Hill"
"25",NA,"Thymus pulegioides","Thymus pulegioides L.",5341443,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymus","Thymus pulegioides","Thymus pulegioides","L."
"26",NA,"Anthemis arvensis","Anthemis arvensis L.",3102781,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis","Anthemis arvensis","Anthemis arvensis","L."
"27",NA,"Carlina vulgaris","Carlina vulgaris L.",3105380,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carlina","Carlina vulgaris","Carlina vulgaris","L."
"28",NA,"Ononis spinosa","Ononis spinosa L.",2977149,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ononis","Ononis spinosa","Ononis spinosa","L."
"29",NA,"Rhinanthus alectorolophus","Rhinanthus alectorolophus (Scop.) Pollich",3172045,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Rhinanthus","Rhinanthus alectorolophus","Rhinanthus alectorolophus","(Scop.) Pollich"
"30",NA,"Harpalus griseus","Harpalus griseus (Panzer, 1796)",6097919,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus griseus","Harpalus griseus","(Panzer, 1796) "
"31",NA,"Stenobothrus lineatus","Stenobothrus lineatus (Panzer, 1796)",1710962,"EXACT",97,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Stenobothrus","Stenobothrus lineatus","Stenobothrus lineatus","(Panzer, 1796) "
"32",NA,"Tetrix tenuicornis","Tetrix tenuicornis (Sahlberg, 1891)",1681181,"EXACT",97,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Tetrigidae","Tetrix","Tetrix tenuicornis","Tetrix tenuicornis","(Sahlberg, 1891) "
"33",NA,"Saloca diceros","Saloca diceros (O.Pickard-Cambridge, 1871)",2137523,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Saloca","Saloca diceros","Saloca diceros","(O.Pickard-Cambridge, 1871) "
"34",NA,"Formica rufa","Formica rufa Linnaeus, 1761",1315132,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica rufa","Formica rufa","Linnaeus, 1761"
"35",NA,"Formica sanguinea","Formica sanguinea Latreille, 1798",1315006,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica sanguinea","Formica sanguinea","Latreille, 1798"
"36",NA,"Linum catharticum","Linum catharticum L.",2873865,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","Linum","Linum catharticum","Linum catharticum","L."
"37",NA,"Platanthera chlorantha","Platanthera chlorantha (Custer) Rchb.",2797913,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Platanthera","Platanthera chlorantha","Platanthera chlorantha","(Custer) Rchb."
"38",NA,"Apium graveolens","Apium graveolens L.",5371879,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Apium","Apium graveolens","Apium graveolens","L."
"39",NA,"Arctium tomentosum","Arctium tomentosum Mill.",5393080,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium tomentosum","Arctium tomentosum","Mill."
"40",NA,"Parnassia palustris","Parnassia palustris L.",3032585,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Parnassiaceae","Parnassia","Parnassia palustris","Parnassia palustris","L."
"41",NA,"Chenopodium vulvaria","Chenopodium vulvaria L.",3083932,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium vulvaria","Chenopodium vulvaria","L."
"42",NA,"Cuscuta epithymum","Cuscuta epithymum (L.) L.",2927518,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta","Cuscuta epithymum","Cuscuta epithymum","(L.) L."
"43",NA,"Erica cinerea","Erica cinerea L.",5333411,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Erica","Erica cinerea","Erica cinerea","L."
"44",NA,"Oenanthe pimpinelloides","Oenanthe pimpinelloides L.",5371889,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Oenanthe","Oenanthe pimpinelloides","Oenanthe pimpinelloides","L."
"45",NA,"Daphne mezereum","Daphne mezereum L.",5420852,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","Daphne","Daphne mezereum","Daphne mezereum","L."
"46",NA,"Misumena vatia","Misumena vatia (Clerck, 1757)",2165951,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Misumena","Misumena vatia","Misumena vatia","(Clerck, 1757) "
"47",NA,"Oxythyrea funesta","Oxythyrea funesta (Poda, 1761)",1077130,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Oxythyrea","Oxythyrea funesta","Oxythyrea funesta","(Poda, 1761) "
"48",NA,"Nymphoides peltata","Nymphoides peltata (S.G.Gmel.) Kuntze",8810827,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Menyanthaceae","Nymphoides","Nymphoides peltata","Nymphoides peltata","(S.G.Gmel.) Kuntze"
"49",NA,"Stachys alpina","Stachys alpina L.",7306931,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","Stachys alpina","Stachys alpina","L."
"50",NA,"Genista tinctoria","Genista tinctoria L.",5347612,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Genista","Genista tinctoria","Genista tinctoria","L."
"51",NA,"Rhinanthus minor","Rhinanthus minor L.",3172043,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Rhinanthus","Rhinanthus minor","Rhinanthus minor","L."
"52",NA,"Limonium vulgare","Limonium vulgare Mill.",3082322,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Limonium","Limonium vulgare","Limonium vulgare","Mill."
"53",NA,"Oenanthe silaifolia","Oenanthe silaifolia M.Bieb.",6027222,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Oenanthe","Oenanthe silaifolia","Oenanthe silaifolia","M.Bieb."
"54",NA,"Stachys arvensis","Stachys arvensis (L.) L.",2927229,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","Stachys arvensis","Stachys arvensis","(L.) L."
"55",NA,"Martes martes","Martes martes (Linnaeus, 1758)",5218878,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Martes martes","Martes martes","(Linnaeus, 1758) "
"56",NA,"Eristalinus aeneus","Eristalinus aeneus (Scopoli, 1763)",1542830,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus aeneus","Eristalinus aeneus","(Scopoli, 1763) "
"57",NA,"Argynnis paphia","Argynnis paphia (Linnaeus, 1758)",1909398,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis","Argynnis paphia","Argynnis paphia","(Linnaeus, 1758) "
"58",NA,"Felis silvestris","Felis silvestris Schreber, 1777",7964291,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis silvestris","Felis silvestris","Schreber, 1777"
"59",NA,"Pyrrhula pyrrhula","Pyrrhula pyrrhula (Linnaeus, 1758)",2494543,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula","Pyrrhula pyrrhula","(Linnaeus, 1758) "
"60",NA,"Thecla betulae","Thecla betulae (Linnaeus, 1758)",1930110,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Thecla","Thecla betulae","Thecla betulae","(Linnaeus, 1758) "
"61",NA,"Mustela putorius","Mustela putorius Linnaeus, 1758",5218911,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius","Mustela putorius","Linnaeus, 1758"
"62",NA,"Passer montanus","Passer montanus (Linnaeus, 1758)",5231198,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","Passer montanus","(Linnaeus, 1758) "
"63",NA,"Phoenicurus phoenicurus","Phoenicurus phoenicurus (Linnaeus, 1758)",5739317,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","(Linnaeus, 1758) "
